id;age;male;eduyears;nzeuro;rightwing;neg_ath;neg_bd;neg_ch;neg_hd;neg_jw;neg_ms;thr_ath;thr_bd;thr_ch;thr_hd;thr_jw;rural;thr_ms;wave;religiosity
156;44;Not Male;10,0;1;6;Neither negative nor positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not very threatening;Not threatening at all;Not Rural;Somewhat threatening;2018;5
156;45;Not Male;9,0;1;5;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Very Negative;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2019;5
157;19;Not Male;14,0;NA;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
157;20;Not Male;15,0;NA;5;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
158;27;Not Male;18,0;NA;NA;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;3
158;28;Not Male;15,0;NA;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;5
159;25;Male;13,0;NA;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Not Rural;NA;2018;NA
159;26;Male;13,0;NA;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;7
160;31;Not Male;14,0;1;6;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;NA;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;2
160;32;Not Male;14,0;1;5;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;NA;Not threatening at all;NA;NA;Not Rural;NA;2019;2
161;33;Male;10,0;NA;4;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;2;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2018;3
161;34;Male;12,0;NA;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not threatening at all;Somewhat threatening;Not very threatening;Not very threatening;Not Rural;Somewhat threatening;2019;3
162;20;Male;15,0;1;NA;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;5
162;21;Male;15,0;1;NA;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not very threatening;Not very threatening;Not threatening at all;Not Rural;Not threatening at all;2019;6
163;43;Not Male;13,0;1;10;Somewhat positive;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;2
163;44;Not Male;13,0;1;10;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;2;Not very threatening;Not threatening at all;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;3
164;57;Not Male;12,0;NA;6;NA;NA;Very positive;NA;NA;NA;NA;NA;Not threatening at all;NA;NA;Not Rural;NA;2018;1
164;58;Not Male;12,0;NA;5;NA;NA;Very positive;NA;NA;NA;NA;NA;Very threatening;NA;NA;Not Rural;NA;2019;1
165;52;Not Male;20,0;NA;7;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;4
165;53;Not Male;22,0;NA;9;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;5
166;59;Male;15,0;NA;NA;Very Negative;NA;Very positive;NA;NA;NA;NA;NA;Not threatening at all;NA;NA;Rural;NA;2018;2
166;60;Male;16,0;NA;5;Somewhat positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;2
167;63;Male;23,0;1;0;Very positive;Very positive;Very positive;Very positive;Very positive;Somewhat positive;NA;NA;NA;NA;NA;Not Rural;NA;2018;3
167;64;Male;18,0;NA;4;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
168;64;Male;12,0;1;2;Neither negative nor positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat negative;Very Negative;1;Not threatening at all;Not threatening at all;Not threatening at all;Somewhat threatening;Not Rural;Very threatening;2018;7
168;65;Male;14,0;1;4;Somewhat positive;Neither negative nor positive;Somewhat negative;Somewhat negative;Somewhat negative;Very Negative;1;Not threatening at all;Not threatening at all;Not threatening at all;Not very threatening;Not Rural;Very threatening;2019;7
169;21;Male;16,0;1;10;Somewhat negative;Very positive;Somewhat positive;Somewhat positive;Very Negative;Somewhat negative;3;Not threatening at all;Not threatening at all;Not very threatening;Very threatening;Not Rural;Very threatening;2018;2
169;22;Male;17,0;1;10;Very Negative;Very positive;Very positive;Somewhat positive;Very Negative;Somewhat positive;4;Not threatening at all;Not threatening at all;Not very threatening;Very threatening;Not Rural;Very threatening;2019;NA
170;75;Not Male;11,0;NA;2;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
170;76;Not Male;11,0;NA;4;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
171;40;Not Male;19,0;NA;1;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;5
171;41;Not Male;40,0;1;8;Neither negative nor positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;2;Not very threatening;Not very threatening;Not very threatening;Not threatening at all;Not Rural;Very threatening;2019;5
172;43;Male;NA;1;NA;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;4
172;44;Male;12,0;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Not Rural;NA;2019;5
173;29;Male;NA;1;NA;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;1
173;30;Male;NA;1;10;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2019;1
174;56;Male;12,0;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Rural;Somewhat threatening;2018;5
174;57;Male;10,0;1;7;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;NA;Not threatening at all;NA;NA;Not Rural;NA;2019;4
175;57;Male;18,0;NA;6;Very positive;Very positive;Somewhat positive;Somewhat positive;NA;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;NA;Not Rural;Not very threatening;2018;6
175;58;Male;18,0;NA;7;Somewhat positive;Somewhat positive;Neither negative nor positive;NA;NA;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;NA;Not Rural;Not very threatening;2019;6
176;75;Not Male;11,0;NA;4;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;NA;2018;3
176;76;Not Male;11,0;1;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;NA;Not threatening at all;Rural;NA;2019;3
177;69;Male;13,0;NA;5;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;5
177;70;Male;12,0;NA;NA;NA;NA;Neither negative nor positive;NA;NA;NA;NA;NA;NA;NA;NA;Not Rural;NA;2019;4
178;NA;Not Male;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;NA
178;NA;Not Male;NA;NA;NA;Neither negative nor positive;NA;Neither negative nor positive;NA;NA;NA;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;NA
179;54;Not Male;13,0;1;NA;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;6
179;55;Not Male;8,0;1;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;6
180;28;Male;NA;1;6;Very positive;Very positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;2;Not threatening at all;Not very threatening;Somewhat threatening;Not threatening at all;Not Rural;Not very threatening;2018;4
180;29;Male;17,0;1;NA;NA;Very positive;Somewhat positive;NA;Neither negative nor positive;Neither negative nor positive;2;Not threatening at all;Somewhat threatening;Somewhat threatening;Not threatening at all;Not Rural;Somewhat threatening;2019;4
181;36;Not Male;13,0;1;NA;Somewhat positive;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;3
181;37;Not Male;13,0;1;NA;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
182;48;Not Male;11,0;NA;5;NA;Very positive;Very positive;Very positive;Very positive;Very positive;NA;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
182;49;Not Male;10,0;NA;NA;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;2;Not threatening at all;Not threatening at all;Not very threatening;Not threatening at all;Not Rural;Not very threatening;2019;4
183;18;Not Male;14,0;1;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2018;7
183;19;Not Male;16,0;1;NA;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;6
184;27;Male;17,0;NA;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;NA;Somewhat negative;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;4
184;28;Male;18,0;NA;NA;Neither negative nor positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
185;25;Male;18,0;1;2;Very positive;Neither negative nor positive;Very Negative;Somewhat negative;Very Negative;Somewhat negative;1;Not very threatening;Very threatening;Somewhat threatening;Very threatening;Not Rural;Somewhat threatening;2018;7
185;26;Male;15,0;1;2;Neither negative nor positive;Neither negative nor positive;Very Negative;Somewhat negative;Somewhat negative;Somewhat negative;2;Not very threatening;Somewhat threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;7
186;18;Male;13,0;1;NA;Very positive;Neither negative nor positive;Somewhat positive;Somewhat negative;Somewhat positive;Very Negative;1;Not threatening at all;Not very threatening;Not very threatening;Not threatening at all;Not Rural;Very threatening;2018;6
186;19;Male;14,0;1;6;Somewhat positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Very Negative;2;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Not Rural;Very threatening;2019;5
187;45;Male;14,0;1;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;4
187;46;Male;15,0;1;5;Neither negative nor positive;Very positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;4
188;68;Not Male;14,0;NA;8;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2018;4
188;69;Not Male;15,0;1;NA;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;4
189;38;Not Male;16,0;1;3;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
189;39;Not Male;19,0;1;3;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;4
190;72;Not Male;12,0;NA;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;NA;Not threatening at all;NA;NA;Not Rural;NA;2018;3
190;73;Not Male;12,0;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
191;61;Male;12,0;1;6;Somewhat positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;1;Not very threatening;Not threatening at all;Somewhat threatening;Not threatening at all;Not Rural;Somewhat threatening;2018;3
191;62;Male;NA;1;6;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;2;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2019;2
192;59;Male;NA;1;5;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not threatening at all;2018;5
192;60;Male;13,0;1;10;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not very threatening;2019;4
193;38;Male;18,0;1;7;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat positive;2;Not threatening at all;Not very threatening;Not very threatening;Somewhat threatening;Rural;Somewhat threatening;2018;5
193;39;Male;17,0;1;9;Somewhat positive;Somewhat positive;Somewhat negative;Neither negative nor positive;Somewhat negative;Somewhat negative;2;Not threatening at all;Not very threatening;Not threatening at all;Somewhat threatening;Rural;Somewhat threatening;2019;5
194;62;Not Male;NA;1;2;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not threatening at all;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;NA
194;63;Not Male;15,0;1;3;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;5
195;68;Not Male;12,0;1;5;Neither negative nor positive;NA;Neither negative nor positive;NA;NA;NA;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2018;5
195;69;Not Male;13,0;1;10;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not threatening at all;2019;6
196;NA;Not Male;12,0;1;NA;Neither negative nor positive;Neither negative nor positive;Very positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
196;NA;Not Male;15,0;1;7;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;4;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;3
197;61;Not Male;NA;NA;0;Somewhat positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Somewhat threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2018;4
197;62;Not Male;NA;1;0;Somewhat positive;Very positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Somewhat threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2019;3
198;63;Not Male;13,0;NA;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
198;64;Not Male;12,0;NA;NA;Neither negative nor positive;Neither negative nor positive;Very positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;Not threatening at all;Not threatening at all;NA;NA;NA;NA;2019;3
199;61;Male;13,0;1;3;Neither negative nor positive;Very positive;Very Negative;Somewhat positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;3
199;62;Male;12,0;1;7;Neither negative nor positive;Very positive;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;6
200;52;Male;NA;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;3;Not threatening at all;Not very threatening;Not very threatening;Not threatening at all;Not Rural;Somewhat threatening;2018;3
200;53;Male;13,0;1;7;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;6
201;51;Not Male;NA;NA;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;7
201;52;Not Male;NA;NA;5;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;4
202;28;Not Male;15,0;1;5;Very positive;Neither negative nor positive;Very positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not very threatening;Not threatening at all;Not Rural;Not very threatening;2018;4
202;29;Not Male;18,0;NA;NA;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2019;4
203;61;Not Male;17,0;NA;8;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat negative;3;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2018;3
203;62;Not Male;17,0;NA;6;Neither negative nor positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not threatening at all;Not very threatening;Not threatening at all;Not threatening at all;Not Rural;Somewhat threatening;2019;2
204;28;Male;17,0;1;7;Very positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;Somewhat negative;1;Not very threatening;Not threatening at all;Not very threatening;NA;Not Rural;Somewhat threatening;2018;7
204;29;Male;16,0;1;8;Very positive;NA;Somewhat positive;NA;NA;Somewhat negative;1;NA;Not threatening at all;NA;NA;Not Rural;Somewhat threatening;2019;7
205;66;Male;17,0;1;2;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Not Rural;Not very threatening;2018;6
205;67;Male;20,0;1;2;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;6
206;75;Male;15,0;1;3;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2018;5
206;76;Male;15,0;1;3;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;NA;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not very threatening;2019;4
207;40;Not Male;11,0;NA;0;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;1
207;41;Not Male;NA;NA;0;Somewhat positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;2
208;33;Not Male;17,0;1;2;Neither negative nor positive;Very positive;Somewhat negative;Somewhat positive;Neither negative nor positive;Neither negative nor positive;NA;NA;Somewhat threatening;Not threatening at all;NA;Rural;Not very threatening;2018;6
208;34;Not Male;17,0;1;2;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2019;6
209;72;NA;14,0;1;4;Very positive;Neither negative nor positive;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Somewhat negative;2;Not very threatening;Somewhat threatening;Not very threatening;Not threatening at all;Not Rural;Somewhat threatening;2018;7
209;73;Male;11,0;1;4;Very positive;NA;Neither negative nor positive;Neither negative nor positive;Somewhat positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not very threatening;Not threatening at all;Not Rural;Somewhat threatening;2019;7
210;66;Male;15,0;1;5;Very positive;Very Negative;Very Negative;Very Negative;Very Negative;Very Negative;1;Not very threatening;Very threatening;Somewhat threatening;Very threatening;Not Rural;Very threatening;2018;7
210;67;Male;15,0;1;7;Somewhat positive;Somewhat negative;Somewhat negative;Somewhat negative;Somewhat negative;Somewhat negative;NA;Not very threatening;Somewhat threatening;Not very threatening;Somewhat threatening;Not Rural;Somewhat threatening;2019;7
211;41;Male;16,0;1;4;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Somewhat negative;Somewhat negative;2;Not very threatening;Not very threatening;Not very threatening;Somewhat threatening;Not Rural;Somewhat threatening;2018;5
211;42;Male;17,0;1;3;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;5
212;52;Not Male;19,0;1;4;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not threatening at all;2018;5
212;53;Not Male;20,0;1;3;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;4
213;34;Male;19,0;1;3;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;7
213;35;Male;20,0;1;3;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;7
214;45;Male;NA;1;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2018;6
214;46;Male;13,0;NA;NA;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Not Rural;Not threatening at all;2019;5
215;55;Not Male;18,0;1;5;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not threatening at all;2018;3
215;56;Not Male;18,0;1;7;Very positive;Very positive;Very positive;Very positive;Very positive;Very positive;1;Not threatening at all;Not threatening at all;Not threatening at all;Not threatening at all;Rural;Not threatening at all;2019;3
216;58;Male;NA;1;7;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2018;5
216;59;Male;13,0;1;7;Somewhat positive;Somewhat positive;Somewhat positive;Somewhat positive;NA;Somewhat positive;2;Not very threatening;Not very threatening;Not very threatening;Not very threatening;Rural;Not very threatening;2019;4
217;33;Not Male;20,0;1;NA;Somewhat positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;Neither negative nor positive;NA;Not threatening at all;Somewhat threatening;Not very threatening;NA;Not Rural;Somewhat threatening;2018;6
217;34;Not Male;20,0;1;NA;Somewhat positive;Somewhat positive;Somewhat negative;Neither negative nor positive;Neither negative nor positive;Somewhat negative;1;Not threatening at all;Somewhat threatening;Not threatening at all;NA;Rural;Somewhat threatening;2019;6
